RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   69   80     0     0  con    1  8.6D-02  1.0D+01  1.185D+00  2.194D+02
   70   81     0     0  con    0  1.0D+00  7.7D+00  7.530D-01  2.194D+02
   71   82     0     0  con    0  1.0D+00  7.7D+00  4.150D-01  2.193D+02
   72   83     0     0  con    0  1.0D+00  3.0D+01  7.300D-01  2.193D+02
   73   84     0     0  con    0  1.0D+00  3.2D+01  7.540D-01  2.192D+02
   74   86     0     0  con    1  8.3D-04  6.2D-01  7.786D-01  2.192D+02
   75   87     0     0  con    0  1.0D+00  2.2D+01  1.418D-01  2.192D+02
   76   88     0     0  con    0  1.0D+00  4.5D+00  1.849D-02  2.192D+02
   77   89     0     0  con    0  1.0D+00  3.7D+00  1.579D-01  2.192D+02
   78   90     0     0  con    0  1.0D+00  2.2D+00  1.861D-01  2.192D+02
   79   91     0     0  con    0  1.0D+00  2.6D+00  1.592D-01  2.192D+02
   80   93     0     0  con    1  1.7D-01  7.3D+00  3.690D-01  2.192D+02
   81   94     0     0  con    0  1.0D+00  2.7D+00  1.336D-01  2.192D+02
   82   95     0     0  con    0  1.0D+00  5.1D+00  6.317D-02  2.192D+02
   83   97     0     0  con    1  2.4D-01  3.1D+00  3.683D-01  2.192D+02
   84   98     0     0  con    0  1.0D+00  6.3D+00  3.363D-01  2.191D+02
   85   99     0     0  con    0  1.0D+00  6.9D+00  1.161D-01  2.191D+02
   86  100     0     0  con    0  1.0D+00  1.8D+01  8.260D-02  2.191D+02
   87  102     0     0  con    1  7.3D-02  2.7D+00  1.529D-01  2.191D+02
   88  103     0     0  con    0  1.0D+00  1.9D+01  1.594D-02  2.191D+02
