Cycle : 1 	Error=  92236.6 	Scale=  1 
Cycle : 147 	Error=  -9343.071 	Scale=  2.62144e-10 
Cycle : 148 	Error=  -9343.148 	Scale=  1.31072e-10 
Cycle : 149 	Error=  -9343.462 	Scale=  6.5536e-11 
Cycle : 150 	Error=  -9343.557 	Scale=  3.2768e-11 
Cycle : 151 	Error=  -9343.94 	Scale=  1.6384e-11 
Cycle : 152 	Error=  -9344.057 	Scale=  8.192e-12 
Cycle : 153 	Error=  -9344.518 	Scale=  4.096e-12 
Cycle : 154 	Error=  -9344.662 	Scale=  2.048e-12 
Cycle : 155 	Error=  -9345.215 	Scale=  1.024e-12 
Cycle : 156 	Error=  -9345.388 	Scale=  5.12e-13 
Cycle : 157 	Error=  -9346.045 	Scale=  2.56e-13 
Cycle : 158 	Error=  -9346.25 	Scale=  1.28e-13 
Cycle : 159 	Error=  -9347.024 	Scale=  6.4e-14 
Cycle : 160 	Error=  -9347.265 	Scale=  3.2e-14 
Cycle : 161 	Error=  -9348.163 	Scale=  1.6e-14 
Cycle : 162 	Error=  -9348.439 	Scale=  8e-15 
Cycle : 163 	Error=  -9349.44 	Scale=  4e-15 
Cycle : 164 	Error=  -9349.733 	Scale=  2e-15 
Cycle : 165 	Error=  -9350.76 	Scale=  1e-15 
Cycle : 166 	Error=  -9351.05 	Scale=  1e-15 
Cycle : 167 	Error=  -9352.233 	Scale=  1e-15 
Cycle : 168 	Error=  -9352.641 	Scale=  1e-15 
Cycle : 169 	Error=  -9354.241 	Scale=  1e-15 
Cycle : 170 	Error=  -9354.93 	Scale=  1e-15 
Cycle : 171 	Error=  -9356.788 	Scale=  1e-15 
Cycle : 172 	Error=  -9357.371 	Scale=  1e-15 
Cycle : 173 	Error=  -9359.45 	Scale=  1e-15 
Cycle : 174 	Error=  -9359.896 	Scale=  1e-15 
Cycle : 175 	Error=  -9362.306 	Scale=  1e-15 
Cycle : 176 	Error=  -9362.748 	Scale=  1e-15 
Cycle : 177 	Error=  -9365.952 	Scale=  1e-15 
Cycle : 178 	Error=  -9366.46 	Scale=  1e-15 
Cycle : 179 	Error=  -9371.733 	Scale=  1e-15 
Cycle : 180 	Error=  -9372.566 	Scale=  1e-15 
Cycle : 181 	Error=  -9388.335 	Scale=  1e-15 
Cycle : 182 	Error=  -9393.29 	Scale=  1e-15 
Cycle : 183 	Error=  -9436.515 	Scale=  1e-15 
Cycle : 184 	Error=  -9436.64 	Scale=  1e-15 
Cycle : 185 	Error=  -9436.843 	Scale=  1e-15 
Cycle : 186 	Error=  -9436.878 	Scale=  1e-15 
Cycle : 187 	Error=  -9437.058 	Scale=  1e-15 
Cycle : 188 	Error=  -9437.11 	Scale=  1e-15 
Cycle : 189 	Error=  -9437.393 	Scale=  1e-15 
Cycle : 190 	Error=  -9437.527 	Scale=  1e-15 
Cycle : 191 	Error=  -9438.292 	Scale=  1e-15 
Cycle : 192 	Error=  -9460.45 	Scale=  1e-15 
Cycle : 193 	Error=  -9493.637 	Scale=  1e-15 
Cycle : 194 	Error=  -9508.817 	Scale=  1e-15 
Cycle : 195 	Error=  -9542.22 	Scale=  1e-15 
Cycle : 196 	Error=  -9542.677 	Scale=  1e-15 
Cycle : 197 	Error=  -9594.004 	Scale=  1e-15 
Cycle : 198 	Error=  -9594.165 	Scale=  1e-15 
Cycle : 199 	Error=  -9596.509 	Scale=  1e-15 
Cycle : 200 	Error=  -9596.536 	Scale=  1e-15 

